,STATE,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE,FIPS,E_TOTPOP,E_PCI,EP_UNEMP,EP_NOHSDP,EP_DISABL,EP_MINRTY,EP_MUNIT,EP_POV
54,AK,AK: Valdez-Cordova Census Area (02261) - 1990+,115.9,199.7,153.8,72,Mortality,46492,All Races,Male and Female,All Cancer Sites Combined,2014-2018,121.2,195.0,154.9,02261,9301.0,38507.0,6.6,4.0,12.2,30.4,6.2,8.1
55,AK,AK: Wade Hampton Census Area (02270) - 1990+,,,,,Mortality,41034,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02270,,,,,,,,
56,AK,AK: Wrangell Borough (02275) - 2014+,314.6,528.1,409.9,74,Incidence,12449,All Races,Male and Female,All Cancer Sites Combined,2014-2018,466.8,746.2,594.4,02275,2484.0,31489.0,5.6,11.7,17.9,33.9,2.2,7.8
57,AK,AK: Wrangell Borough (02275) - 2015+,95.8,229.2,150.5,27,Mortality,12449,All Races,Male and Female,All Cancer Sites Combined,2014-2018,142.9,315.6,216.9,02275,2484.0,31489.0,5.6,11.7,17.9,33.9,2.2,7.8
58,AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2013,,,,,Incidence,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02280,,,,,,,,
59,AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2014,,,,,Mortality,0,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02280,,,,,,,,
60,AK,AK: Yakutat City and Borough (02282) - 1994+,,,,,Incidence,3100,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02282,689.0,31878.0,6.1,8.2,8.7,57.6,3.1,6.7
61,AK,AK: Yakutat City and Borough (02282) - 1994+,,,,,Mortality,3100,All Races,Male and Female,All Cancer Sites Combined,2014-2018,,,,02282,689.0,31878.0,6.1,8.2,8.7,57.6,3.1,6.7
62,AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,471.7,656.3,558.3,168,Incidence,27118,All Races,Male and Female,All Cancer Sites Combined,2014-2018,529.4,720.6,619.5,02290,5415.0,22386.0,18.8,14.3,14.9,78.6,0.5,25.1
63,AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,198.4,326.7,256.7,73,Mortality,27118,All Races,Male and Female,All Cancer Sites Combined,2014-2018,211.0,338.5,269.2,02290,5415.0,22386.0,18.8,14.3,14.9,78.6,0.5,25.1
64,AL,AL: Autauga County (01001),469.7,519.6,494.2,1579,Incidence,275923,All Races,Male and Female,All Cancer Sites Combined,2014-2018,544.4,601.2,572.3,01001,55200.0,29372.0,4.2,11.3,19.3,25.0,3.8,15.4
65,AL,AL: Autauga County (01001),149.8,178.6,163.7,522,Mortality,275923,All Races,Male and Female,All Cancer Sites Combined,2014-2018,173.3,206.1,189.2,01001,55200.0,29372.0,4.2,11.3,19.3,25.0,3.8,15.4
66,AL,AL: Baldwin County (01003),444.6,467.6,456.0,6571,Incidence,1040099,All Races,Male and Female,All Cancer Sites Combined,2014-2018,616.6,647.2,631.8,01003,208107.0,31203.0,4.4,9.7,14.0,17.0,18.3,10.6
67,AL,AL: Baldwin County (01003),158.8,172.4,165.5,2432,Mortality,1040099,All Races,Male and Female,All Cancer Sites Combined,2014-2018,224.6,243.3,233.8,01003,208107.0,31203.0,4.4,9.7,14.0,17.0,18.3,10.6
68,AL,AL: Barbour County (01005),403.7,468.1,434.9,759,Incidence,128873,All Races,Male and Female,All Cancer Sites Combined,2014-2018,547.8,632.4,589.0,01005,25782.0,18461.0,9.5,27.0,22.2,53.9,1.3,28.9
69,AL,AL: Barbour County (01005),163.0,205.2,183.1,313,Mortality,128873,All Races,Male and Female,All Cancer Sites Combined,2014-2018,216.7,271.3,242.9,01005,25782.0,18461.0,9.5,27.0,22.2,53.9,1.3,28.9
70,AL,AL: Bibb County (01007),430.1,504.4,466.1,643,Incidence,112622,All Races,Male and Female,All Cancer Sites Combined,2014-2018,527.7,616.8,570.9,01007,22527.0,20199.0,7.5,16.8,16.7,25.4,2.4,14.0
71,AL,AL: Bibb County (01007),164.7,212.8,187.6,252,Mortality,112622,All Races,Male and Female,All Cancer Sites Combined,2014-2018,197.0,253.2,223.8,01007,22527.0,20199.0,7.5,16.8,16.7,25.4,2.4,14.0
72,AL,AL: Blount County (01009),411.3,454.9,432.6,1618,Incidence,288104,All Races,Male and Female,All Cancer Sites Combined,2014-2018,534.6,589.7,561.6,01009,57645.0,22656.0,4.1,19.8,14.2,12.9,0.9,14.4
73,AL,AL: Blount County (01009),163.2,190.7,176.5,673,Mortality,288104,All Races,Male and Female,All Cancer Sites Combined,2014-2018,216.3,251.9,233.6,01009,57645.0,22656.0,4.1,19.8,14.2,12.9,0.9,14.4
74,AL,AL: Bullock County (01011),434.2,548.6,488.8,305,Incidence,51802,All Races,Male and Female,All Cancer Sites Combined,2014-2018,524.6,658.7,588.8,01011,10352.0,20346.0,11.1,24.8,14.4,78.5,1.7,31.4
75,AL,AL: Bullock County (01011),180.6,256.4,215.9,136,Mortality,51802,All Races,Male and Female,All Cancer Sites Combined,2014-2018,220.3,310.6,262.5,01011,10352.0,20346.0,11.1,24.8,14.4,78.5,1.7,31.4
76,AL,AL: Butler County (01013),394.0,468.6,430.0,576,Incidence,100020,All Races,Male and Female,All Cancer Sites Combined,2014-2018,529.8,624.9,575.9,01013,20025.0,20430.0,6.7,15.4,17.7,48.1,1.3,23.5
77,AL,AL: Butler County (01013),147.2,192.2,168.5,241,Mortality,100020,All Races,Male and Female,All Cancer Sites Combined,2014-2018,211.5,273.4,241.0,01013,20025.0,20430.0,6.7,15.4,17.7,48.1,1.3,23.5
78,AL,AL: Calhoun County (01015),455.7,488.4,471.8,3433,Incidence,575400,All Races,Male and Female,All Cancer Sites Combined,2014-2018,576.8,616.9,596.6,01015,115098.0,24706.0,8.8,15.9,20.8,27.5,3.7,18.6
79,AL,AL: Calhoun County (01015),172.9,193.0,182.7,1351,Mortality,575400,All Races,Male and Female,All Cancer Sites Combined,2014-2018,222.4,247.7,234.8,01015,115098.0,24706.0,8.8,15.9,20.8,27.5,3.7,18.6
80,AL,AL: Chambers County (01017),477.2,537.9,506.8,1181,Incidence,169025,All Races,Male and Female,All Cancer Sites Combined,2014-2018,659.4,739.7,698.7,01017,33826.0,22827.0,5.0,18.6,16.7,44.2,4.0,16.6
81,AL,AL: Chambers County (01017),175.6,212.3,193.2,461,Mortality,169025,All Races,Male and Female,All Cancer Sites Combined,2014-2018,248.4,298.8,272.7,01017,33826.0,22827.0,5.0,18.6,16.7,44.2,4.0,16.6
82,AL,AL: Cherokee County (01019),356.1,414.7,384.4,761,Incidence,129214,All Races,Male and Female,All Cancer Sites Combined,2014-2018,547.8,632.3,588.9,01019,25853.0,23356.0,5.6,19.8,20.0,8.2,2.0,15.0
83,AL,AL: Cherokee County (01019),167.2,207.6,186.5,371,Mortality,129214,All Races,Male and Female,All Cancer Sites Combined,2014-2018,258.6,317.9,287.1,01019,25853.0,23356.0,5.6,19.8,20.0,8.2,2.0,15.0
84,AL,AL: Chilton County (01021),384.9,435.1,409.4,1098,Incidence,219609,All Races,Male and Female,All Cancer Sites Combined,2014-2018,470.8,530.5,500.0,01021,43930.0,24611.0,7.1,17.8,17.7,19.9,0.7,18.6
85,AL,AL: Chilton County (01021),151.6,183.5,166.9,453,Mortality,219609,All Races,Male and Female,All Cancer Sites Combined,2014-2018,187.7,226.2,206.3,01021,43930.0,24611.0,7.1,17.8,17.7,19.9,0.7,18.6
86,AL,AL: Choctaw County (01023),404.8,494.8,447.9,443,Incidence,65351,All Races,Male and Female,All Cancer Sites Combined,2014-2018,616.2,744.0,677.9,01023,13075.0,22182.0,10.6,18.6,28.4,43.6,1.1,22.2
87,AL,AL: Choctaw County (01023),119.6,169.5,142.6,146,Mortality,65351,All Races,Male and Female,All Cancer Sites Combined,2014-2018,188.6,262.7,223.4,01023,13075.0,22182.0,10.6,18.6,28.4,43.6,1.1,22.2
88,AL,AL: Clarke County (01025),437.7,506.9,471.3,782,Incidence,121883,All Races,Male and Female,All Cancer Sites Combined,2014-2018,597.4,688.2,641.6,01025,24387.0,21111.0,14.4,18.8,17.1,47.1,1.8,25.4
89,AL,AL: Clarke County (01025),150.9,191.2,170.0,295,Mortality,121883,All Races,Male and Female,All Cancer Sites Combined,2014-2018,215.2,271.3,242.0,01025,24387.0,21111.0,14.4,18.8,17.1,47.1,1.8,25.4
90,AL,AL: Clay County (01027),433.7,527.9,478.9,449,Incidence,66893,All Races,Male and Female,All Cancer Sites Combined,2014-2018,610.6,736.3,671.2,01027,13378.0,23147.0,6.4,24.5,15.3,19.7,0.4,18.4
91,AL,AL: Clay County (01027),151.9,206.6,177.4,178,Mortality,66893,All Races,Male and Female,All Cancer Sites Combined,2014-2018,228.4,308.2,266.1,01027,13378.0,23147.0,6.4,24.5,15.3,19.7,0.4,18.4
92,AL,AL: Cleburne County (01029),399.4,484.4,440.2,455,Incidence,74697,All Races,Male and Female,All Cancer Sites Combined,2014-2018,554.4,667.8,609.1,01029,14938.0,21989.0,7.5,22.6,22.6,7.4,0.4,18.5
93,AL,AL: Cleburne County (01029),128.2,177.3,151.1,161,Mortality,74697,All Races,Male and Female,All Cancer Sites Combined,2014-2018,183.5,251.5,215.5,01029,14938.0,21989.0,7.5,22.6,22.6,7.4,0.4,18.5
94,AL,AL: Coffee County (01031),394.9,441.2,417.5,1325,Incidence,256625,All Races,Male and Female,All Cancer Sites Combined,2014-2018,488.9,544.9,516.3,01031,51288.0,27577.0,5.9,13.8,17.7,29.4,0.9,15.1
95,AL,AL: Coffee County (01031),156.6,186.0,170.8,548,Mortality,256625,All Races,Male and Female,All Cancer Sites Combined,2014-2018,196.0,232.2,213.5,01031,51288.0,27577.0,5.9,13.8,17.7,29.4,0.9,15.1
96,AL,AL: Colbert County (01033),421.0,465.4,442.7,1665,Incidence,273075,All Races,Male and Female,All Cancer Sites Combined,2014-2018,580.8,639.7,609.7,01033,54495.0,24918.0,5.9,15.6,18.7,21.3,2.2,16.3
97,AL,AL: Colbert County (01033),166.1,193.4,179.3,708,Mortality,273075,All Races,Male and Female,All Cancer Sites Combined,2014-2018,240.5,279.1,259.3,01033,54495.0,24918.0,5.9,15.6,18.7,21.3,2.2,16.3
98,AL,AL: Conecuh County (01035),405.8,501.7,451.7,406,Incidence,62578,All Races,Male and Female,All Cancer Sites Combined,2014-2018,587.2,715.1,648.8,01035,12514.0,17542.0,11.5,19.2,22.8,49.9,0.5,22.2
99,AL,AL: Conecuh County (01035),155.2,213.0,182.1,176,Mortality,62578,All Races,Male and Female,All Cancer Sites Combined,2014-2018,241.2,326.0,281.2,01035,12514.0,17542.0,11.5,19.2,22.8,49.9,0.5,22.2
100,AL,AL: Coosa County (01037),316.8,405.9,359.0,297,Incidence,54157,All Races,Male and Female,All Cancer Sites Combined,2014-2018,487.8,614.5,548.4,01037,10855.0,22963.0,5.8,20.4,22.6,34.7,0.2,14.0
101,AL,AL: Coosa County (01037),138.6,198.0,165.9,143,Mortality,54157,All Races,Male and Female,All Cancer Sites Combined,2014-2018,222.5,311.0,264.0,01037,10855.0,22963.0,5.8,20.4,22.6,34.7,0.2,14.0
102,AL,AL: Covington County (01039),429.7,484.3,456.3,1203,Incidence,186713,All Races,Male and Female,All Cancer Sites Combined,2014-2018,608.4,681.8,644.3,01039,37351.0,23071.0,8.7,17.1,20.9,16.6,1.3,18.3
103,AL,AL: Covington County (01039),174.5,208.3,190.8,536,Mortality,186713,All Races,Male and Female,All Cancer Sites Combined,2014-2018,263.3,312.4,287.1,01039,37351.0,23071.0,8.7,17.1,20.9,16.6,1.3,18.3
104,AL,AL: Crenshaw County (01041),486.8,586.5,534.8,496,Incidence,69300,All Races,Male and Female,All Cancer Sites Combined,2014-2018,654.1,781.6,715.7,01041,13865.0,23353.0,5.8,21.6,21.1,28.8,0.4,15.7
105,AL,AL: Crenshaw County (01041),171.8,231.4,199.7,192,Mortality,69300,All Races,Male and Female,All Cancer Sites Combined,2014-2018,239.3,319.1,277.1,01041,13865.0,23353.0,5.8,21.6,21.1,28.8,0.4,15.7
106,AL,AL: Cullman County (01043),413.2,449.9,431.3,2295,Incidence,411564,All Races,Male and Female,All Cancer Sites Combined,2014-2018,535.0,580.9,557.6,01043,82313.0,22980.0,5.5,18.2,17.6,7.9,2.5,15.8
107,AL,AL: Cullman County (01043),161.0,183.7,172.1,944,Mortality,411564,All Races,Male and Female,All Cancer Sites Combined,2014-2018,215.0,244.5,229.4,01043,82313.0,22980.0,5.5,18.2,17.6,7.9,2.5,15.8
108,AL,AL: Dale County (01045),437.0,487.4,461.7,1384,Incidence,246626,All Races,Male and Female,All Cancer Sites Combined,2014-2018,532.0,591.5,561.2,01045,49255.0,23837.0,8.8,14.2,21.3,31.0,1.2,18.4
109,AL,AL: Dale County (01045),162.6,193.2,177.4,546,Mortality,246626,All Races,Male and Female,All Cancer Sites Combined,2014-2018,203.2,240.8,221.4,01045,49255.0,23837.0,8.8,14.2,21.3,31.0,1.2,18.4
110,AL,AL: Dallas County (01047),453.1,509.8,480.8,1219,Incidence,200102,All Races,Male and Female,All Cancer Sites Combined,2014-2018,575.5,644.4,609.2,01047,40029.0,18910.0,11.8,19.3,17.8,72.5,1.5,31.1
111,AL,AL: Dallas County (01047),185.3,222.0,203.0,516,Mortality,200102,All Races,Male and Female,All Cancer Sites Combined,2014-2018,236.1,281.1,257.9,01047,40029.0,18910.0,11.8,19.3,17.8,72.5,1.5,31.1
112,AL,AL: DeKalb County (01049),376.8,415.2,395.6,1746,Incidence,356028,All Races,Male and Female,All Cancer Sites Combined,2014-2018,467.7,514.0,490.4,01049,71200.0,21004.0,4.5,25.9,15.5,19.3,1.1,22.1
113,AL,AL: DeKalb County (01049),149.6,173.9,161.4,723,Mortality,356028,All Races,Male and Female,All Cancer Sites Combined,2014-2018,188.5,218.4,203.1,01049,71200.0,21004.0,4.5,25.9,15.5,19.3,1.1,22.1
